,from_to,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16
17,Austria-Switzerland,69440.77335799995,97872.56594400006,84130.950977,81510.02350199998,82230.56209399994,140136.0455350001,67336.82474099992,60665.88432800002,48350.46563599996,33582.22024100001,41174.79237299996,42934.02245400003,94600.603141,114724.2772449999,110070.4651029999,79179.516636
18,Austria-United Kingdom,6111.721179000006,4686.458497000001,5336.740427000001,6534.033910999997,5979.347991999998,6829.862507999997,3745.577473999996,5497.333108999991,2586.806797000001,3122.752521000001,2941.454663000001,3395.785806999999,3337.360912,3684.265478000002,3510.152884,5925.738836
19,Belgium-Austria,20260.17848599998,66292.82258799991,50176.44033299997,53777.63272900003,60781.023852,302848.0799190003,35202.57714200002,11717.75563300001,2842.371617999998,3390.125841000001,3688.821344000002,4881.238274,2262.873412,2502.679309999996,2239.876909000006,42768.41619399995
20,Belgium-Croatia,1878.264147999994,1029.653660000001,1011.954092000001,804.7731800000005,1281.686264999997,2167.471404000003,1787.746526999999,559.5197280000004,987.9312410000016,475.1433620000006,122.1984269999999,1241.876212999996,397.8304690000003,1090.959128,941.7035740000014,850.3677020000022
21,Belgium-Czech Republic,1550.457614000001,1480.800778999999,1198.693576000002,2427.627388000001,1206.864998000002,15838.94593099999,1000.71385,1063.300733999999,503.3287200000002,429.2682569999998,573.4806700000006,1240.845601000001,952.7719770000008,627.1282200000009,570.723589,3148.905902000005
22,Belgium-Denmark,18666.96935399994,15687.550968,17483.67167999999,33414.50947100001,26895.27781399996,193280.883341,33891.91542199995,23791.612165,25305.487049,17985.95867399999,19526.83086299998,19097.227974,23968.30108499998,18986.31483700001,21911.34135199998,14854.83274299998
23,Belgium-France,26127.16627000002,24892.27505800001,25184.84393200001,24078.04024500001,26661.95183500001,497618.9733840001,22466.39590799998,19040.69804199999,17437.39744600001,16439.34856100001,9093.590259,4988.169887999993,6375.126201999999,8960.061463000002,8801.424230999992,23989.91273199998
24,Belgium-Greece,1332.385718999999,1441.455261000002,453.6558260000012,587.6968850000003,253.209565,4872.690555000003,95.14527999999994,285.4425040000002,185.5690330000003,104.851987,143.0295169999998,65.98417999999992,59.22822900000006,89.96221099999994,75.93914799999978,898.0922529999993
25,Belgium-Hungary,2946.002405,4811.607157000001,2953.392760999996,3292.793784999998,6258.750024999997,12666.42634,1302.816790000001,3382.154889000002,4940.897333000001,1913.707162999999,2273.874175,2058.804641000001,3078.665403000002,3727.899075999998,4590.739934999995,17849.998252
26,Belgium-Ireland,321.7191050000004,369.7567000000005,135.5533049999997,412.9795710000001,149.3397930000001,3260.881255999998,149.8378369999998,261.2621280000004,229.7392150000001,222.8162930000002,260.8455480000003,265.9404440000003,588.2947850000006,255.67138,289.1102509999999,421.2520020000005
27,Belgium-Israel,225.249299,571.1353549999999,1059.067841,401.6458750000011,134.0279640000001,1457.909601,856.0436379999994,1138.867662,828.3798249999999,501.1253670000001,514.0871740000001,318.3015790000001,454.9303570000002,537.3513980000007,289.8792689999999,445.8126790000006
28,Belgium-Italy,1420.398798999998,4437.250629000001,5055.952140999998,1249.303419999999,912.078402,13264.449687,1062.602535999998,349.4767600000004,302.2376030000004,699.2035320000006,179.2576869999997,319.5131430000001,49.40631500000009,69.00436999999994,64.02053300000001,992.5410840000002
29,Belgium-Luxembourg,843.8762529999989,0.0,305.2278180000001,893.3051539999994,703.901834,6315.570562000004,746.8682020000005,1247.735288999999,886.0996379999999,1223.846107999999,460.3601649999999,13.90391,20.816309,42.07223599999999,26.045931,0.0
30,Belgium-Netherlands,13877.60296599999,14512.73273299998,14191.823012,12683.96655000002,11413.163338,180459.024317,11102.734249,7494.778699000009,8234.131927999997,11086.976838,16492.409284,13676.234744,11669.24802900001,12315.17581099999,14068.87482,18572.72204599998
31,Belgium-New York (USA),160570.822436,83130.34937099997,86796.73685399993,81783.895424,73168.4164169999,633052.8584670003,66082.97064900002,39170.06229599998,3793.316765999996,1520.705533000001,1531.445031,1614.092059000001,1075.536702000001,1710.458286999999,1818.151736000001,112016.975826
32,Belgium-Poland,5545.619588000003,5834.423480999999,4737.048019999997,2322.454480000002,1355.484688999998,31361.07052300001,1040.123769000001,1656.772149999995,2257.027112000001,2380.780711999998,2745.593832000001,2790.300499999999,2727.724883,282.899799,498.3885810000004,6158.962594999992
33,Belgium-Portugal,7225.581335000006,1364.655553000002,1613.770370999999,2162.152571999998,2917.263227999999,14173.597967,1853.128586999996,859.9979880000005,878.2733069999997,1001.786919000001,878.3223529999995,909.4488790000012,2160.184894999999,2067.171412999998,1658.775079,1027.455921000001
34,Belgium-Slovakia,1417.536911999998,1292.003690999999,1387.623455999998,2031.434850000002,3965.563190999991,55838.17478500002,1017.591741000001,310.7993930000005,1411.991939999996,1551.451553999993,810.0375150000007,885.1998830000019,696.4786800000005,569.4437700000005,390.9943450000007,880.8299789999998
35,Belgium-Slovenia,1399.826193,1354.710544,832.5053370000002,887.1030669999993,984.453311000002,5149.801909,1389.441350999999,439.3931710000003,527.8750760000001,482.963778,892.9434739999997,450.1447330000003,596.9135829999997,1178.980301999999,1209.912498000001,1930.187921
36,Belgium-Spain,4402.60161,6293.65773599999,6416.204831000002,4705.577302000002,7028.151119000003,30215.83332699999,4339.583548,4040.701596000002,2317.623329999999,882.0213440000001,3906.421434999998,2261.336332000001,2090.190787999999,2948.346622000001,2856.032481000001,4752.949278
37,Belgium-Sweden,71430.89127199996,55905.96242300004,59944.03014999998,76924.29949799998,90919.68138700012,544239.0412529998,85960.516995,33975.359578,66961.20750100006,79540.5717,121192.4749720001,163945.0117280001,168613.2392509999,170755.8720550001,164029.1816709999,67073.35482200002
38,Belgium-Switzerland,8255.653031,5518.902592999999,4306.069876000004,4324.722635999998,3847.398631999996,46063.95131700003,7442.760220999991,2416.443706,2085.420369999998,1484.345221000002,2234.820996,46406.05106200003,52489.70046500002,3506.772712000002,5180.027881999999,10551.05175200001
39,Belgium-United Kingdom,16024.06924699999,15346.393108,11008.71719799999,15584.89713000001,11469.03168900001,137546.506464,16177.555237,11479.899011,9950.675218000002,7319.187456000004,6252.949310999998,9256.551725,8107.516722999999,6325.354398000009,7002.769944000009,12074.09016000001
40,Croatia-Austria,3398.565827000001,3590.543860999997,3935.868082999999,4138.707466000004,3125.003676,174118.078065,450801.5685229999,539443.3000399998,784674.0500609999,743752.1703169992,788589.3119459994,846918.0573249991,984596.7971289988,1160374.613943999,1142796.786834,3652.688471
41,Croatia-Belgium,518.3637190000001,288.5356749999998,472.274119,445.5026829999999,383.1160610000001,327.503337,348.4477469999999,192.1230230000001,159.1110419999999,167.361633,94.0926249999996,385.2089969999994,133.6923169999999,151.8661500000002,166.0559950000003,219.4827800000001
42,Croatia-Czech Republic,4997.036237000008,4671.384587,6170.493192000005,4372.808175999999,5422.694094000005,4490.174424000002,522.9945949999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4713.386871999996
43,Croatia-Denmark,549432.5280589999,1278056.180495999,1261845.182052,1363670.079234,1142237.072652,1209359.513483999,1194579.147249001,981227.972359,394055.5251760005,86856.16508999994,76294.84915099999,76640.89419299997,86436.73291499999,86139.10366199995,91423.97689500004,1302916.299808999
44,Croatia-France,1042.684093000001,675.305539,1631.928520000001,726.4160500000004,581.0126549999998,1021.124357,812.1757680000009,502.3162719999996,88.0227460000001,173.0845199999999,49.96413000000005,0.00298,0.337781,0.41285,0.0,962.9117720000004
45,Croatia-Greece,2974.776047000004,3300.886027000002,1029.714782,146.8834929999999,214.8550100000003,780.0843869999992,251.4288190000001,112.3518049999999,60.14377100000005,661.9560609999995,81.47320199999973,183.4307349999997,175.6136249999999,121.0885719999998,91.32452299999986,3194.924522000001
46,Croatia-Hungary,549643.4705399993,709391.6291939999,849199.0123499996,862093.2732090004,912884.9541989996,682300.9389000002,662645.7849980011,503475.2937149997,331025.9370050001,204822.5825840001,225016.788754,233514.5660279999,251890.2308289999,290036.7971849999,298403.6632559999,596330.2008470001
47,Croatia-Ireland,721.8303920000001,545.1147910000007,551.5910120000013,736.1690790000018,463.6951930000005,309.4946550000006,542.599073,536.5234460000005,583.7913830000005,314.8483110000004,735.587969000001,566.3731330000007,660.3789979999992,696.382420000001,704.7635790000011,636.9643550000004
48,Croatia-Israel,79.33337600000007,220.9681930000002,165.5837610000001,64.37292800000006,118.019412,108.454418,50.95721500000004,112.504926,28.03908499999999,17.849765,39.016175,214.8798520000002,86.14938100000008,10.07158300000001,9.694506000000004,75.23102200000001
49,Croatia-Italy,189.9113790000001,841.309781,1737.862717999997,221.9674050000001,170.5273340000002,122.452741,373.9545669999998,609.889733000001,27.18894199999998,4.298093,286.1695379999999,1485.670819,1327.128768,1943.761427999998,2058.900293999997,338.4008840000002
50,Croatia-Luxembourg,47.53009899999997,0.0,4.936431000000002,64.62984999999998,287.489762,42.03708499999997,41.06783099999994,28.78460899999999,103.7257180000003,7.129336,5.572286999999999,0.002699,0.0,0.0,0.0,0.0
51,Croatia-Netherlands,6663.517153999988,4924.315806999996,7053.519959,7144.364105,6386.859869000003,6039.599286999996,6083.683931000008,5971.259748999996,3420.761557000002,2932.856032999998,3257.059503,3700.867495,3468.058060999998,5293.965251,5019.125993000005,6331.694023000002
52,Croatia-New York (USA),23156.91087700002,16106.858088,17000.10481799999,15386.64131,6264.729445999999,5012.875993,6307.436019999998,4998.367715000005,2728.227824999998,1033.420951,948.171702,1013.972068000001,1398.076544999999,1733.545494999999,1516.252521000002,17028.72921700002
53,Croatia-Poland,6602.18689599999,4761.430468,6073.863033000008,5528.717760999995,5884.000412000006,4498.358782000004,2938.883931999998,431.3710299999998,0.369776,23.27254000000001,172.0141990000001,266.4717590000001,85.95708200000006,0.0,0.0,6274.236063000002
54,Croatia-Portugal,894.7912910000001,861.3538819999999,1168.818974999999,928.670808,1496.032831999997,668.1736149999997,1447.214085,700.7528149999995,602.113735,732.0742550000004,156.5027030000002,308.7158930000001,225.6844170000001,256.2023690000001,319.8183800000005,679.2430590000006
55,Croatia-Slovakia,2750.976566999997,2260.574463000001,2840.358371999999,2441.142165000001,2751.099996,2127.742304999997,2014.279927999999,2386.357798999998,2090.891493,439.4222790000005,1334.985176,1385.358382,1201.128435999998,1335.861316999998,1583.354408999996,2430.418925000004
56,Croatia-Slovenia,16063.27923500002,10888.40415000001,12423.39714800002,13217.847302,13017.235331,14073.66094200001,15830.89756200001,9952.001551,5332.188293999997,3270.503663000001,3235.775628999998,3575.705454000002,4596.921450999997,5807.844435000003,7212.216919999997,12881.41405199998
57,Croatia-Spain,2856.731713,2094.238816,2185.516622,2915.737156,2078.713143999997,1154.452337,1155.668946999998,227.26956,232.0716100000001,114.1104560000001,182.7898080000002,233.3547019999998,211.7378790000002,410.2250949999996,429.2697779999995,2871.433108999993
58,Croatia-Sweden,1229420.515072998,76844.15526300004,167163.307807,206254.9654440001,125136.9142990002,93803.88242299996,90071.27790999999,71478.62845799995,34413.84543099999,20934.343984,34874.93587000001,38138.31552499999,44416.28665800003,47326.22558999997,45837.86174899999,377813.353242
59,Croatia-Switzerland,4956.110263999998,16745.63635199999,17670.27283000001,26117.69811400003,34470.429319,18657.208232,21505.13446500001,16487.35870499999,12054.058881,7059.617952000001,7882.458608999992,9514.936040000004,10345.484614,9786.811229,10526.42115999999,16670.19664299999
60,Croatia-United Kingdom,5934.852585999999,7388.960113000006,4924.114385999997,3360.099316000003,4407.658589,2321.149263,2616.874330000003,2806.777668,1545.034435000001,855.2103989999993,1039.876349,867.5777859999993,1143.891103,1615.392187999999,1231.681826999998,4956.746738000004
61,Czech Republic-Austria,31.452179,0.96448,20.941312,0.139792,0.037677,5.867508,52.79632300000002,56.99376600000008,13298.870815,22446.81549700001,29313.36577300001,36966.45795799997,40374.80793999998,46483.41097899999,48535.099438,0.901389
62,Czech Republic-Belgium,2090.049763999998,6632.95376600001,5405.013684000001,4970.287124999993,1834.153068,3018.148823999996,4208.757182999998,1882.187175999999,2152.410530999998,3785.003067999998,2248.611492,2930.035886999999,4190.344935000001,3534.980850999998,4368.494797999992,5091.283823999999
63,Czech Republic-Croatia,7023.651718000005,4697.420282000003,5898.152639000001,4576.071906000004,4553.932811999999,10995.678174,1677.798983000001,3067.391263000001,1097.211099,1244.122424999998,1125.143524,766.3014590000004,2395.934598999998,2260.108360999998,1614.135869999999,6142.068176999994
64,Czech Republic-Denmark,20775.40726199999,34595.32999500001,37662.40175699999,56645.67019499999,39530.09492099999,53445.70629200003,52019.64849600002,37966.305393,47600.49669200006,29328.108052,27315.33966999998,40441.006311,38743.912964,39283.18858900001,40886.30841400003,23727.62545900001
65,Czech Republic-France,3878.206386,10107.114654,8546.909302000005,7801.225666000004,6338.946897,14110.621818,7571.131490000003,6973.490444999994,5642.182546999999,6162.173607999999,3599.250875999996,4230.899373000001,3767.113926,4403.628827000003,4358.998694,3535.936161000002
66,Czech Republic-Greece,5890.453045999998,7183.408728999998,1772.531148999998,283.3466110000002,198.8109360000002,318.6381830000001,128.3145789999999,201.4888290000002,177.104486,89.10924499999999,213.3142199999999,102.0207169999998,180.0667969999999,173.952393,172.0113959999998,6756.905705999995
67,Czech Republic-Hungary,19314.73584,21834.26031500001,21188.815595,20895.17362,15374.103702,27670.73279299999,10550.30218800001,11535.34714100001,15641.825558,7792.763710999998,10957.73280899998,11466.09177800001,10351.97810799999,11481.997111,12227.06804899999,21763.393283
68,Czech Republic-Ireland,616.6964669999998,1495.107991999997,1172.005710000001,638.8921349999998,778.947188,446.8664590000006,111.6877409999999,390.429214,168.93894,622.9533950000002,1015.414014000001,73.84813899999999,231.7449790000001,580.7585710000003,613.8914960000006,777.4451879999996
69,Czech Republic-Israel,650.226389000001,594.6056749999998,506.4850350000003,830.3123709999993,1049.463788,418.0277380000005,469.9475410000004,322.201952,258.3513470000001,123.7429239999999,101.7731239999999,725.5871889999988,82.64156599999991,106.022484,169.3860649999999,860.5535889999991
70,Czech Republic-Italy,18094.23764299999,10331.652409,9384.961790000005,1723.596666999998,471.0465180000003,269.0580650000007,1448.047306999998,457.865687,685.233664,284.567331,1056.538854,648.2280430000003,951.1969420000006,888.2739269999998,526.2657949999999,12667.57434
71,Czech Republic-Luxembourg,130.500625,0.0,4.420001000000001,29.35469700000001,37.17303599999999,73.04166299999996,34.18967599999998,16.39528700000001,83.70103600000002,64.48040100000004,38.008679,0.0,0.0,0.003261,0.003261,0.0
72,Czech Republic-Netherlands,26808.70403599999,28229.08022799999,33541.69086299997,34956.93017400002,31109.02036799997,37641.14386800002,12645.045296,14159.22564600001,18716.93826699999,23659.42869199999,28080.606457,24439.30504600001,21621.32857699997,22565.59580600001,27098.65135500001,27424.66472000001
73,Czech Republic-New York (USA),36458.67518800002,38407.45979599997,30069.56448999999,34642.28135900001,9272.325947999996,49367.300951,8827.620244999996,12845.142517,5207.964590999999,2668.604000000003,4090.060566000004,2938.836177000002,2242.589670999999,3126.267473999997,3516.448430999998,43543.72795299998
74,Czech Republic-Poland,5.593046000000001,1.755484,12.947248,167.203738,74.15987699999995,24.22470700000001,21.487376,29.69438000000001,264.3199229999997,780.5215049999998,5872.907673999996,23.879963,56.42448900000011,59.31293200000009,60.1408280000002,2.775182
75,Czech Republic-Portugal,1709.214673999999,1230.702551000001,2282.548229000002,1784.500193,1953.621066999999,3087.393803999999,974.9545880000009,731.561483,850.9727329999994,584.2197760000006,952.4115710000008,654.8181919999992,430.2616509999998,1176.105428999999,2248.685774999999,1589.273486
76,Czech Republic-Slovenia,14330.12179299999,14426.70034500001,16797.42302600003,16957.59589100001,10524.300962,17436.808093,7088.789445000001,7929.360642000005,9365.379697999995,5477.021763999999,5910.018277000004,6842.942748999998,9482.069312999987,8389.675202,8477.676351000002,13852.44572300002
77,Czech Republic-Spain,13320.14188000002,18029.807969,14194.94823500001,12403.40699699998,4680.175727,3680.892849,4597.317607,2893.048633999998,2891.794676999997,1299.407665999998,2219.350293999998,1350.573321999999,2123.442254999996,2028.635658999999,2291.078571000001,10339.31104899999
78,Czech Republic-Sweden,34497.682721,32793.60845600003,38924.80630900001,45549.90113399996,47650.16660500004,112735.374291,29514.33733899999,33456.65408000001,30399.125203,10197.55720099999,17144.91415800001,17671.51656399999,9635.121483000008,11853.52609,10459.56600599999,36351.10061499999
79,Czech Republic-Switzerland,6042.240134999999,4375.800652000004,6179.709162999992,6482.989931000002,5057.624224,5409.743072999996,4284.437704,4908.587748999997,6597.320686999998,3201.552425000001,3759.717096000001,3162.153604999997,1630.364257000001,2573.731186999997,2679.493647999999,11441.20227999999
80,Czech Republic-United Kingdom,18561.94830500002,22726.3366,24866.459284,19141.13739299996,12248.33151800001,31990.65121899997,9439.600869000004,13140.54622500001,6039.328588999992,3326.723505999996,4721.814868000001,4501.475683999994,3779.985157999997,3733.247131,3253.232285999998,17710.34127399999
81,Denmark-Austria,40625.97305800003,37937.06950799999,53852.82567500009,57951.66181399996,52478.05338599995,46270.68240900002,39649.77053,48320.87578399991,172512.6833610001,274504.1620080002,389334.7161790001,351919.8917019998,334383.6104919999,398452.7440219998,417749.0654869997,44747.45126299995
82,Denmark-Belgium,42232.54272200001,31105.674919,47297.36679899998,52560.95986199995,23747.770603,23352.063245,18170.42055199999,20635.71438599999,35743.94568999991,18298.39999900001,25959.223156,26045.27297599999,23134.08014699999,27910.46936400001,26633.70412800002,33321.962011
83,Denmark-Croatia,17535.79642200002,495732.2944060001,578026.1548869999,589112.4110270003,571429.2202989999,384701.770952001,12386.737755,8774.275436999993,5067.870461,4464.146836999998,3526.496857000002,4364.453509999998,4816.417568000005,5673.013036999996,7204.11190599999,381571.4384010001
84,Denmark-Czech Republic,34361.61760299998,37158.67489600003,40094.810415,34919.26629600005,28591.04045500001,27582.82332200002,33728.785459,45338.76027499999,45713.38473499996,49450.86590400003,59205.13503099995,56549.21439000002,30153.93056899998,37707.70025399994,29298.12632199998,36228.37350000002
85,Denmark-France,233739.6012740001,88643.361446,155760.925118,149312.73205,140926.8836669998,82876.89744299994,89527.61876999987,75133.62405199998,60104.55299899999,71612.305026,32440.85071199997,19476.76287900002,22837.34194499998,42107.75367799996,47809.35407199998,193336.6579519997
86,Denmark-Greece,709881.7200029998,1645903.972623998,515544.8430920001,194315.0559190002,167069.2770819999,122192.4262130001,83350.626907,75536.44275899988,66514.371208,56147.162067,55185.59326800002,51234.87447899995,48733.76350199999,75534.74744999995,75580.48264500001,1256818.190705
87,Denmark-Hungary,58064.344021,1287339.236597999,1221079.241159,1283945.384241001,1162417.849422001,809368.4768690013,22804.59168600001,62597.22700900005,53645.62430799998,47494.17124000003,48667.025759,51951.87936099996,54751.12772799997,78225.77472700004,78364.46043100003,785036.0418860003
88,Denmark-Ireland,2782.425257000004,1378.826457000001,5630.512494999997,5740.054660000002,7871.816037000001,12323.54976600001,18238.285399,11169.86024699999,8710.349191999994,5757.164486999996,12681.577959,17071.93120499998,7702.348843999996,6527.040235999994,6314.276285999992,1777.993217999998
89,Denmark-Israel,120935.531202,313913.0842239998,309534.862093,267965.0903950003,310629.6206719999,222280.8542110001,91269.74134400002,101602.426263,94835.10811600005,75587.16111500002,89100.97084099994,83883.85706900003,72453.88281399998,85831.55434200006,84360.82547899992,252904.580821
90,Denmark-Italy,94615.082066,156129.8872589999,144346.0992430001,93600.78261900006,88293.46776800003,67678.96546699999,30850.939907,34415.83967399996,32023.51027600002,23401.69250600001,26810.77069100001,28318.04504200003,21728.80850699996,35851.55309800002,40811.78437500001,139252.66047
91,Denmark-Luxembourg,1867.899202000001,0.0,13989.29541799999,62557.83105199997,83417.11127400002,83151.86902599999,1524.992934999999,1573.511309,1596.811451000001,1518.503516000001,614.2528840000001,9.518995,4.801869,6.031533,6.746118,0.0
92,Denmark-Netherlands,40102.60975200008,51164.33104200004,49339.170597,45840.37870300001,63168.91247699992,35838.26492399994,38679.80235200002,33388.76386300001,78947.60520900006,204295.3856040001,131665.4133219999,118298.125528,116945.0195920001,150732.074935,170846.0949110001,50894.67680700003
93,Denmark-New York (USA),305766.984766,192307.2856469999,289435.017522,211957.7144910001,95867.82963900005,89758.97445,140710.2118260001,176759.1501630003,50219.88432200003,23617.28274999999,24480.84736299999,27509.29530899999,26473.074783,27532.72666299999,28119.09827600003,186283.707888
94,Denmark-Poland,51444.72467699993,42277.35504900003,60460.04364299995,46708.75899099997,41976.26077899999,49401.60866800002,28632.78936099998,4176.746853999999,300.0490860000002,1921.667322,4080.782630000002,4843.244541999996,5238.928351999989,0.0,0.0,48106.55791200002
95,Denmark-Portugal,22537.870075,23765.052149,23455.979747,21108.6401,39911.93941300002,32825.20728900001,20568.160275,21657.68478400001,22930.60571500002,19827.40587300001,20493.614306,26864.82373700003,24780.66527400002,22201.34591199999,21834.22454499998,24199.29216600002
96,Denmark-Slovakia,7299.589853000004,7252.377511999998,8902.472259999995,10825.67210400001,7038.314068000006,6625.155513999996,8394.994696000009,5943.501973000004,5449.110492,5383.668182000003,6011.792873999988,7742.670811000003,5600.621416000008,6660.280198999995,5512.821112,9087.303260999994
97,Denmark-Slovenia,896597.5990989999,1753098.484629999,1832744.178042999,1856175.065487,1719685.478718999,1197501.994800002,613647.2739660002,623391.3522980005,576710.6670099999,399874.9884979999,500473.8709620004,577724.787187,662567.6717900009,807877.955544,849752.499996999,1473496.148097003
98,Denmark-Spain,117426.14984,168608.0226250002,144965.1912120002,152242.2864069997,132542.3386600001,88201.62328099998,75114.37852499998,69401.8087879999,74205.17316399999,54651.93727700001,64247.27824100003,45075.94426100004,46284.27896399995,43344.12343999997,50303.27907399999,127266.689896
99,Denmark-Sweden,123330.8674789999,177143.5726049999,1269223.030983998,1580982.168448,1479493.792578001,1210414.318446,692645.9559460003,697322.0844959993,615628.824941,366110.9505870001,403146.396819,359960.6557189999,328456.9585519999,485092.6110989998,529777.2691309998,146611.3845230001
100,Denmark-Switzerland,44950.81135700001,48159.61306899996,38581.55890400003,49379.15995899997,37103.060061,36902.31938300002,47422.36968999996,61811.110119,60063.99259200003,42843.59352100006,53760.70165800001,87054.324467,63680.51586900002,70534.20529999991,55711.56873600003,35898.22381800001
101,Denmark-United Kingdom,236113.4266879999,155638.568286,169225.5854470001,159942.108444,160846.8511670001,207633.0336739999,168055.787881,168852.372895,131688.7342779999,129195.7719149999,163297.471108,116511.03517,130300.7514069999,166088.228777,142606.7013669999,220339.0481730002
102,France-Austria,10093.118308,9258.141510000003,5891.366979999996,7288.953436000006,8682.237838,10860.96604700001,8132.311438999994,2142.753428999989,4979.158280999997,6971.039038999995,3580.68362,1988.055124,1439.879501999999,3417.449287,9842.514705999994,7587.184229000003
103,France-Belgium,7481.741092999998,9574.976253000004,7470.884241999994,6959.855488000001,7339.273315,11561.30731999999,7462.068853999998,4554.264230999995,3607.491238000001,2974.199523000001,3233.943878999998,3546.832883,7478.756953000002,11189.763263,8389.743518999994,8226.248369
104,France-Croatia,2090.194678000001,2073.665151999998,1700.915949999999,2750.025575000002,1470.463060999998,2411.870984999999,2367.029355999998,1691.111353000001,720.6586400000002,762.8468190000001,433.0486360000007,344.6383549999996,540.2071499999997,556.8006570000003,551.4438540000004,1766.561798
